country,Lat,Long,suicides_no,population,suicides100k pop
Albania,40.233611,20.351667,4,42400,9.43
Albania,41.7675,19.875556,31,391100,7.93
Albania,42.357222,20.073056,19,242300,7.84
Albania,40.337778,20.678889,14,185200,7.56
Albania,42.044444,19.899722,19,296800,6.4
Albania,41.3275,19.818889,13,276500,4.7
Albania,41.1125,20.082222,6,188800,3.18
Albania,42.0675,19.513056,5,373600,1.34
Albania,41.323056,19.441389,1,365200,0.27
Albania,40.466667,19.489722,0,391300,0
Albania,40.723889,19.556111,17,232000,7.33
Albania,40.618611,20.780833,10,177400,5.64
Albania,40.705833,19.952222,2,37800,5.29
Albania,40.941944,19.705,1,24900,4.02
Albania,40.9025,20.6525,6,263900,2.27
Albania,40.075833,20.138889,5,240000,2.08
Albania,41.509167,19.792778,5,332200,1.51
Albania,41.783611,19.643611,3,245800,1.22
Albania,42.076944,20.421944,4,374700,1.07
Albania,41.610278,20.008889,1,374900,0.27
Albania,39.875556,20.005278,0,324700,0
Albania,41.685,20.428889,0,168000,0
Albania,40.504167,20.227222,22,206484,10.65
Albania,41.210278,20.360556,34,378826,8.98
Albania,40.295833,20.019167,11,196670,5.59
Albania,40.869722,20.184444,2,47254,4.23
Albania,40.233611,20.351667,10,256039,3.91
Albania,41.7675,19.875556,9,271359,3.32
Albania,42.357222,20.073056,12,370191,3.24
Albania,40.337778,20.678889,1,31044,3.22
Albania,42.044444,19.899722,6,189799,3.16
Albania,41.3275,19.818889,6,321556,1.87
Albania,41.1125,20.082222,4,222771,1.8
Albania,42.0675,19.513056,2,307356,0.65
Albania,41.323056,19.441389,4,31007,12.9
Albania,40.466667,19.489722,23,206286,11.15
Albania,40.723889,19.556111,35,382139,9.16
Albania,40.618611,20.780833,13,198130,6.56
Albania,40.705833,19.952222,15,263067,5.7
Albania,40.941944,19.705,14,275970,5.07
Albania,40.9025,20.6525,15,375113,4
Albania,40.075833,20.138889,7,223685,3.13
Albania,41.509167,19.792778,1,47407,2.11
Albania,41.783611,19.643611,4,191712,2.09
Albania,42.076944,20.421944,1,304850,0.33
Albania,41.610278,20.008889,1,319473,0.31
Albania,39.875556,20.005278,6,49088,12.22
Albania,41.685,20.428889,16,201520,7.94
Albania,40.504167,20.227222,28,386196,7.25
Albania,41.210278,20.360556,15,273235,5.49
Albania,40.295833,20.019167,14,283709,4.93
Albania,40.869722,20.184444,9,195699,4.6
Albania,40.233611,20.351667,9,205433,4.38
Albania,41.7675,19.875556,9,222941,4.04
Albania,42.357222,20.073056,13,381760,3.41
Albania,40.337778,20.678889,1,32667,3.06
Albania,42.044444,19.899722,4,313204,1.28
Albania,41.3275,19.818889,0,298477,0
Albania,41.1125,20.082222,4,35526,11.26
Albania,42.0675,19.513056,39,391767,9.95
Albania,41.323056,19.441389,16,203938,7.85
Albania,40.466667,19.489722,20,292268,6.84
Albania,40.723889,19.556111,19,286768,6.63
Albania,40.618611,20.780833,3,50970,5.89
Albania,40.705833,19.952222,11,222389,4.95
Albania,40.941944,19.705,10,207202,4.83
Albania,40.9025,20.6525,17,391436,4.34
Albania,40.075833,20.138889,3,203841,1.47
Albania,41.509167,19.792778,3,286705,1.05
Albania,41.783611,19.643611,1,302181,0.33
Albania,42.076944,20.421944,0,281922,0
Albania,41.610278,20.008889,0,190745,0
Albania,39.875556,20.005278,0,386513,0
Albania,41.685,20.428889,0,276559,0
Albania,40.504167,20.227222,0,210998,0
Albania,41.210278,20.360556,0,53191,0
Albania,40.295833,20.019167,0,281675,0
Albania,40.869722,20.184444,0,177519,0
Albania,40.233611,20.351667,0,380242,0
Albania,41.7675,19.875556,0,291367,0
Albania,42.357222,20.073056,0,214118,0
Albania,40.337778,20.678889,0,38471,0
Albania,42.044444,19.899722,0,283138,0
Albania,41.3275,19.818889,0,186391,0
Albania,41.1125,20.082222,0,388746,0
Albania,42.0675,19.513056,0,267316,0
Albania,41.323056,19.441389,0,215907,0
Albania,40.466667,19.489722,0,56011,0
Albania,40.723889,19.556111,0,286679,0
Albania,40.618611,20.780833,0,174092,0
Albania,40.705833,19.952222,0,379076,0
Albania,40.941944,19.705,0,282678,0
Albania,40.9025,20.6525,0,219360,0
Albania,40.075833,20.138889,0,40782,0
Albania,41.509167,19.792778,8,42366,18.88
Albania,41.783611,19.643611,29,378626,7.66
Albania,42.076944,20.421944,14,224160,6.25
Albania,41.610278,20.008889,3,57404,5.23
Albania,39.875556,20.005278,9,172494,5.22
Albania,41.685,20.428889,13,281080,4.63
Albania,40.504167,20.227222,13,288349,4.51
Albania,41.210278,20.360556,8,183629,4.36
Albania,40.295833,20.019167,9,221120,4.07
Albania,40.869722,20.184444,14,391811,3.57
Albania,40.233611,20.351667,4,272497,1.47
Albania,41.7675,19.875556,0,256808,0
Albania,42.357222,20.073056,21,172855,12.15
Albania,40.337778,20.678889,37,377119,9.81
Albania,42.044444,19.899722,21,228672,9.18
Albania,41.3275,19.818889,5,59369,8.42
Albania,41.1125,20.082222,20,276073,7.24
Albania,42.0675,19.513056,9,182663,4.93
Albania,41.323056,19.441389,19,393832,4.82
Albania,40.466667,19.489722,2,44574,4.49
Albania,40.723889,19.556111,11,286702,3.84
Albania,40.618611,20.780833,7,226448,3.09
Albania,40.705833,19.952222,7,262464,2.67
Albania,40.941944,19.705,1,246288,0.41
Albania,40.9025,20.6525,0,270003,0
Albania,40.075833,20.138889,0,182712,0
Albania,41.509167,19.792778,0,394286,0
Albania,41.783611,19.643611,0,236174,0
Albania,42.076944,20.421944,0,233302,0
Albania,41.610278,20.008889,0,61582,0
Albania,39.875556,20.005278,0,283448,0
Albania,41.685,20.428889,0,174955,0
Albania,40.504167,20.227222,0,374365,0
Albania,41.210278,20.360556,0,253007,0
Albania,40.295833,20.019167,0,234570,0
Albania,40.869722,20.184444,0,47331,0
Albania,40.233611,20.351667,20,241852,8.27
Albania,41.7675,19.875556,20,371611,5.38
Albania,42.357222,20.073056,9,179720,5.01
Albania,40.337778,20.678889,2,50767,3.94
Albania,42.044444,19.899722,10,279508,3.58
Albania,41.3275,19.818889,6,183579,3.27
Albania,41.1125,20.082222,2,64415,3.1
Albania,42.0675,19.513056,12,394593,3.04
Albania,41.323056,19.441389,7,241491,2.9
Albania,40.466667,19.489722,6,263581,2.28
Albania,40.723889,19.556111,2,223969,0.89
Albania,40.618611,20.780833,0,240939,0
